State,total_tracts,lilatracts_1and10,lilatracts_halfand10,poverty_rate_avg,median_income_avg,percent_lila_1and10,percent_lila_halfand10,Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,Consumed fruit less than one time daily among adults,Consumed fruit less than one time daily among high school students,Consumed regular soda at least one time daily among high school students,Consumed vegetables less than one time daily among adults,Consumed vegetables less than one time daily among high school students,Diabetes among adults,Gestational diabetes among women with a recent live birth,High blood pressure among adults,High cholesterol among adults who have been screened,Infants who were breastfed at 12 months,Infants who were exclusively breastfed through 6 months,Met aerobic physical activity guideline among high school students,"Met aerobic physical activity guideline for substantial health benefits, adults",No leisure-time physical activity among adults,Obesity among WIC children aged 2 to 4 years,Obesity among adults,Obesity among high school students,Taking medicine for high cholesterol among adults,Taking medicine to control high blood pressure among adults with high blood pressure
Alabama,1178,267,401,20.057045840407472,59814.49271636675,22.66553480475382,34.04074702886248,27.0,46.1,9.8,,20.6,11.9,13.6,10.1,60.0,40.1,26.0,19.8,25.3,45.9,27.8,15.6,38.3,13.9,39.8,69.0
Alaska,167,33,48,11.42874251497006,87459.4606060606,19.760479041916167,28.74251497005988,28.1,42.1,,,18.5,,8.5,,30.4,32.0,52.1,31.2,,57.3,21.5,19.9,32.1,,31.8,51.4
Arizona,1520,257,546,16.67473684210526,69963.00597213006,16.907894736842106,35.921052631578945,18.2,42.2,12.1,14.9,21.6,10.3,12.7,,45.2,35.0,36.8,25.5,22.0,54.7,22.6,13.1,33.5,14.9,34.8,55.4
Arkansas,686,171,229,19.003790087463557,56778.25844346549,24.927113702623906,33.38192419825073,25.2,45.5,11.9,22.4,20.2,14.1,14.1,8.9,40.7,31.8,26.7,19.8,25.6,46.8,31.1,13.9,37.9,19.4,31.5,65.6
California,8024,536,2117,14.551258723828514,88387.66578483245,6.679960119641077,26.38334995014955,20.9,36.4,,,22.5,,11.5,,27.9,33.9,47.7,33.4,,55.0,21.9,17.0,28.1,,30.7,73.3
Colorado,1242,173,415,11.606199677938807,86548.93577235773,13.92914653784219,33.41384863123994,28.4,38.1,6.2,12.5,18.7,6.2,7.6,8.6,40.8,28.3,42.6,28.7,22.1,59.3,16.7,8.6,25.0,10.6,28.1,70.9
Connecticut,828,65,207,11.115821256038647,100079.49756690998,7.85024154589372,25.0,26.1,35.7,8.1,,20.1,8.4,10.7,11.9,45.3,30.9,37.0,19.4,21.7,54.4,23.1,14.4,30.7,15.1,34.6,62.1
Delaware,214,32,58,12.857009345794394,80919.78504672897,14.953271028037383,27.102803738317757,25.5,39.7,,13.0,21.3,,13.9,13.2,49.6,32.2,27.5,21.9,21.6,51.7,23.5,18.5,38.0,17.0,32.0,59.2
District of Columbia,179,12,49,17.501675977653633,119155.76878612717,6.70391061452514,27.374301675977655,16.4,32.8,,14.1,17.7,,8.0,9.2,49.6,30.6,40.0,28.1,16.9,56.1,15.1,12.8,24.3,20.4,30.3,70.8
Florida,4182,550,1211,15.30246293639407,68329.02990834539,13.151602104256337,28.95743663318986,18.4,,8.8,14.9,,11.3,12.2,,,,34.8,22.2,22.5,54.3,24.5,13.4,31.6,16.4,,
